exp_name,sample,accession,lane,organism
KD6_seq1_essential_mRNA_lane_24_S72,SRX15390337,SRR19330879,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_24_S72,SRX15390337,SRR19330878,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_24_S72,SRX15390337,SRR19330877,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_24_S72,SRX15390337,SRR19331135,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_25_S73,SRX15390349,SRR19330866,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_25_S73,SRX15390349,SRR19330863,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_25_S73,SRX15390349,SRR19330864,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_25_S73,SRX15390349,SRR19330867,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_31_S55,SRX15390362,SRR19330854,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_31_S55,SRX15390362,SRR19330853,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_31_S55,SRX15390362,SRR19330852,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_31_S55,SRX15390362,SRR19330851,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_32_S56,SRX15390375,SRR19330840,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_32_S56,SRX15390375,SRR19330841,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_32_S56,SRX15390375,SRR19330838,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_32_S56,SRX15390375,SRR19330839,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_33_S81,SRX15390384,SRR19330829,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_33_S81,SRX15390384,SRR19330832,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_33_S81,SRX15390384,SRR19330831,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_33_S81,SRX15390384,SRR19330830,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_39_S63,SRX15390421,SRR19330795,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_39_S63,SRX15390421,SRR19330794,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_39_S63,SRX15390421,SRR19330793,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_39_S63,SRX15390421,SRR19330792,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_45_S93,SRX15390427,SRR19331263,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_45_S93,SRX15390427,SRR19330789,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_45_S93,SRX15390427,SRR19330788,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_45_S93,SRX15390427,SRR19331262,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_45_S69,SRX15390429,SRR19330784,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_45_S69,SRX15390429,SRR19330785,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_45_S69,SRX15390429,SRR19330786,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_45_S69,SRX15390429,SRR19330787,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_9_S57,SRX15390554,SRR19331120,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_9_S57,SRX15390554,SRR19330662,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_9_S57,SRX15390554,SRR19331168,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_9_S57,SRX15390554,SRR19330651,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_14_S62,SRX15390611,SRR19331091,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_14_S62,SRX15390611,SRR19331092,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_14_S62,SRX15390611,SRR19331094,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_14_S62,SRX15390611,SRR19331093,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_2_S26,SRX15390615,SRR19331090,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_2_S26,SRX15390615,SRR19331373,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_2_S26,SRX15390615,SRR19331362,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_2_S26,SRX15390615,SRR19331159,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_21_S45,SRX15390637,SRR19331067,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_21_S45,SRX15390637,SRR19331068,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_21_S45,SRX15390637,SRR19331065,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_21_S45,SRX15390637,SRR19331066,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_27_S51,SRX15390645,SRR19331057,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_27_S51,SRX15390645,SRR19331058,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_27_S51,SRX15390645,SRR19331059,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_27_S51,SRX15390645,SRR19331060,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_28_S76,SRX15390654,SRR19331049,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_28_S76,SRX15390654,SRR19331051,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_28_S76,SRX15390654,SRR19331050,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_28_S76,SRX15390654,SRR19331048,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_34_S58,SRX15390667,SRR19331035,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_34_S58,SRX15390667,SRR19331037,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_34_S58,SRX15390667,SRR19331036,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_34_S58,SRX15390667,SRR19331038,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_42_S90,SRX15390696,SRR19331009,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_42_S90,SRX15390696,SRR19331008,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_42_S90,SRX15390696,SRR19331007,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_42_S90,SRX15390696,SRR19331006,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_36_S60,SRX15390909,SRR19331306,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_36_S60,SRX15390909,SRR19331305,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_36_S60,SRX15390909,SRR19331304,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_36_S60,SRX15390909,SRR19331303,L004,Homo sapiens
